Time (s),Torque (Nm),X Accel (m/s2),Y Accel (m/s2),Z Accel (m/s2),CNT 1/Angle (Degrees),CNT 1/Frequency (RPM)
8.05186000,-0.0348272994160652,-0.00221413979306817,-0.0815028846263885,-0.0196707118302584,4982.34375,0
8.05187000,-0.0348272994160652,0.0343191660940647,-0.100746624171734,0.026227617636323,4982.34375,0
8.05188000,-0.0348272994160652,0.0941009446978569,-0.0396194569766521,0.106003284454346,4982.34375,0
8.05189000,-0.0348272994160652,-0.00664241937920451,0.0430154129862785,-0.055733684450388,4982.34375,0
8.05190000,-0.0348272994160652,0.0354262366890907,0.160741806030273,0.0273204352706671,4982.34375,0
8.05191000,-0.0348272994160652,-0.0420686565339565,-0.0588631965219975,0.0513624176383018,4982.34375,0
8.05192000,-0.0348272994160652,0.0387474484741688,0.0158477835357189,0.0491767823696136,4982.34375,0
8.05193000,-0.0348272994160652,0.0974221527576447,0.0950867012143135,-0.0611977726221085,4982.34375,0
8.05194000,-0.0348272994160652,-0.0708524733781815,-0.0305635817348957,-0.0371557921171188,4982.34375,0
8.05195000,-0.0348272994160652,-0.0874585211277008,-0.0101878605782986,0.106003284454346,4982.34375,0
8.05196000,-0.0348272994160652,-0.0974221527576447,-0.140366077423096,-0.0852397531270981,4982.34375,0
8.05197000,-0.0348272994160652,-0.0575676374137402,-0.0769749507308006,0.055733684450388,4982.34375,0
8.05198000,-0.0348272994160652,-0.0531393550336361,0.0158477835357189,0.0699403136968613,4982.34375,0
8.05199000,-0.0348272994160652,-0.0708524733781815,-0.0554672405123711,0.00218563480302691,4982.34375,0
8.05200000,-0.0346413254737854,0.0121777690947056,-0.141498059034348,-0.0568265020847321,4982.34375,0
8.05201000,-0.0346413254737854,-0.0531393550336361,0.114330433309078,-0.0699403136968613,4982.34375,0
8.05202000,-0.0346413254737854,-0.00885655917227268,0.00226396904326975,-0.183593317866325,4982.34375,0
8.05203000,-0.0346413254737854,-0.11513527482748,0.0430154129862785,-0.052455235272646,4982.34375,0
8.05204000,-0.0346413254737854,-0.0431757271289825,-0.0588631965219975,-0.0240419823676348,4982.34375,0
8.05205000,-0.0346413254737854,0.0409615859389305,0.0158477835357189,0.0775900334119797,4982.34375,0
8.05206000,-0.0346413254737854,0.0974221527576447,0.00452793808653951,-0.028413251042366,4982.34375,0
8.05207000,-0.0346413254737854,0.0442827977240086,-0.0950867012143135,0.00764972157776356,4982.34375,0
8.05208000,-0.0346413254737854,-0.12067062407732,-0.0645231157541275,-0.0316917039453983,4982.34375,0
8.05209000,-0.0346413254737854,-0.0354262366890907,0.0430154129862785,-0.0928894802927971,4982.34375,0
8.05210000,-0.0346413254737854,0.030997958034277,0.0611271634697914,-0.0666618570685387,4982.34375,0
8.05211000,-0.0346413254737854,0.0686383321881294,-0.0475433506071568,-0.0338773392140865,4982.34375,0
8.05212000,-0.0346413254737854,0.0885655954480171,-0.0498073175549507,-0.222934737801552,4982.34375,0
8.05213000,-0.0346413254737854,0.00110706989653409,-0.0464113652706146,-0.127859637141228,4982.34375,0
8.05214000,-0.0346413254737854,-0.0608888454735279,-0.0135838137939572,-0.00983535591512919,4982.34375,0
8.05215000,-0.0346413254737854,-0.140597879886627,-0.0724470093846321,-0.0917966589331627,4982.34375,0
8.05216000,-0.0346413254737854,-0.123991832137108,0.10980249941349,-0.014206625521183,4982.34375,0
8.05217000,-0.0346413254737854,0.00442827958613634,0.00226396904326975,-0.0939822942018509,4982.34375,0
8.05218000,-0.0346413254737854,0.013284838758409,-0.1256502866745,0.0404342412948608,4982.34375,0
8.05219000,-0.0346413254737854,-0.141704946756363,0.0701830387115479,-0.0120209911838174,4982.34375,0
8.05220000,-0.0346413254737854,0.00110706989653409,0.00565992249175906,0.0513624176383018,4982.34375,0
8.05221000,-0.0346413254737854,-0.00664241937920451,0.0237716753035784,-0.111467368900776,4982.34375,0
8.05222000,-0.0346413254737854,-0.0276767481118441,0.00226396904326975,-0.135509356856346,4982.34375,0
8.05223000,-0.0346413254737854,-0.0974221527576447,-0.0871628075838089,0.0240419823676348,4982.34375,0
8.05224000,-0.0346413254737854,-0.0464969351887703,-0.204889193177223,0.0513624176383018,4982.34375,0
8.05225000,-0.0346413254737854,0.0188201889395714,0.0667870864272118,-0.171572327613831,4982.34375,0
8.05226000,-0.0346413254737854,-0.0121777690947056,-0.0316955670714378,-0.0633834078907967,4982.34375,0
8.05227000,-0.0346413254737854,-0.0797090381383896,0.143762037158012,-0.150808796286583,4982.34375,0
8.05228000,-0.0346413254737854,-0.140597879886627,-0.0916907489299774,-0.136602178215981,4982.34375,0
8.05229000,-0.0346413254737854,0.0774948969483375,-0.0362235046923161,-0.173757955431938,4982.34375,0
8.05230000,-0.0346413254737854,0.0786019638180733,-0.0645231157541275,-0.0699403136968613,4982.34375,0
8.05231000,-0.0346413254737854,-0.0852443873882294,-0.132442191243172,-0.122395545244217,4982.34375,0
8.05232000,-0.0346413254737854,-0.0431757271289825,-0.126782268285751,-0.0786828473210335,4982.34375,0
8.05233000,-0.0346413254737854,-0.00332120968960226,-0.0237716753035784,-0.0568265020847321,4982.34375,0
8.05234000,-0.0346413254737854,-0.0232484675943851,-0.0215077064931393,-0.0480839647352695,4982.34375,0
8.05235000,-0.0346413254737854,0.17823825776577,-0.193569347262382,-0.197799950838089,4982.34375,0
8.05236000,-0.0346413254737854,-0.0653171241283417,0.117726393043995,-0.146437525749207,4982.34375,0
8.05237000,-0.0346413254737854,-0.0575676374137402,0.0158477835357189,-0.110374554991722,4982.34375,0
8.05238000,-0.0346413254737854,0.0232484675943851,-0.0667870864272118,-0.100539200007915,4982.34375,0
8.05239000,-0.0346413254737854,-0.0354262366890907,-0.159609824419022,-0.132230907678604,4982.34375,0
8.05240000,-0.0346413254737854,0.064210057258606,-0.0282996129244566,-0.0896110236644745,4982.34375,0
8.05241000,-0.0346413254737854,0.136169597506523,-0.0554672405123711,-0.191243037581444,4982.34375,0
8.05242000,-0.0346413254737854,0.0420686565339565,0.134706154465675,-0.0590121373534203,4982.34375,0
8.05243000,-0.0346413254737854,-0.0420686565339565,-0.0667870864272118,-0.0338773392140865,4982.34375,0
8.05244000,-0.0346413254737854,-0.0210343282669783,-0.0509393028914928,-0.0502696000039577,4982.34375,0
8.05245000,-0.0346413254737854,0.0675312653183937,-0.0192437376827002,-0.135509356856346,4982.34375,0
8.05246000,-0.0346413254737854,0.0941009446978569,-0.0554672405123711,0.052455235272646,4982.34375,0
8.05247000,-0.0346413254737854,0.064210057258606,-0.00905587617307901,0.0513624176383018,4982.34375,0
